Date (Montly),Gross Income,Population,Load (hourly) Mwh,Immediate load Mwh,Import Gwh,Export Gwh,Gross Production GWH,Transmitted energy GWH,Net Electricity Consumption Kwh,T.C. Elektricity consumption (Gross Demand) Kwh,Lost Electricty Kwh,efficiency,Labels
1976-01-01 00:00:00,2490453.59,40446729.00,2676.80,2701.60,0.30,0.00,1321.10,1194.00,1322209577.08,1530309478.00,208099900.92,15.738798487572062,Average
1976-02-01 00:00:00,2490453.59,40446729.00,2700.50,2736.90,0.20,0.00,1139.80,1118.20,1234464261.49,1428754104.00,194289842.51,15.73879848700455,Average
1976-03-01 00:00:00,2490453.59,40446729.00,2725.60,2762.40,24.50,0.00,1262.20,1214.60,1331969144.44,1541605084.00,209635939.56,15.738798487568365,Average
1976-04-01 00:00:00,2490453.59,40446729.00,2664.70,2702.20,32.70,0.00,1219.70,1118.00,1234451852.51,1428739742.00,194287889.49,15.738798487357458,Average
1976-05-01 00:00:00,2490453.59,40446729.00,2599.20,2662.80,36.50,0.00,1226.70,1123.30,1235847585.85,1430355147.00,194507561.15,15.738798487535194,Average
1976-06-01 00:00:00,2490453.59,40446729.00,2608.90,2628.60,29.80,0.00,1225.10,1146.50,1256130792.78,1453830687.00,197699894.22,15.738798487891648,Average
1976-07-01 00:00:00,2490453.59,40446729.00,2664.40,2979.50,33.90,0.00,1280.00,1227.50,1323255378.50,1531519876.00,208264497.50,15.738798487717615,Average
1976-08-01 00:00:00,2490453.59,40446729.00,2335.10,2774.60,30.00,0.00,1291.80,1243.80,1332450750.44,1542162489.00,209711738.56,15.738798487730168,Average
1976-09-01 00:00:00,2490453.59,40446729.00,2835.30,2861.60,28.70,0.00,1346.90,1212.70,1333935587.87,1543881022.00,209945434.13,15.738798487656847,Average
1976-10-01 00:00:00,2490453.59,40446729.00,2966.00,3018.70,33.00,0.00,1351.40,1316.10,1442823962.08,1669907118.00,227083155.92,15.738798487421363,Average
1976-11-01 00:00:00,2490453.59,40446729.00,3085.00,3112.70,41.50,0.00,1458.00,1379.80,1508859365.07,1746335700.00,237476334.93,15.73879848762332,Average
1976-12-01 00:00:00,2490453.59,40446729.00,3084.90,3135.20,41.10,0.00,1500.10,1345.80,1522501741.88,1762125223.00,239623481.12,15.73879848729175,Average
1977-01-01 00:00:00,2575292.53,41316297.00,3101.80,3146.80,45.20,0.00,1530.20,1420.80,1549308270.66,1818595722.00,269287451.34,17.38114076066246,Average
1977-02-01 00:00:00,2575292.53,41316297.00,3187.20,3234.70,41.90,0.00,1424.70,1278.50,1401687772.28,1645317097.00,243629324.72,17.381140760307126,Average
1977-03-01 00:00:00,2575292.53,41316297.00,3176.00,3224.80,45.00,0.00,1526.50,1400.00,1519333551.75,1783411055.00,264077503.25,17.381140760422888,Average
1977-04-01 00:00:00,2575292.53,41316297.00,3210.00,3217.30,26.40,0.00,1394.80,1341.90,1553549536.31,1823574168.00,270024631.69,17.38114076049124,Average
1977-05-01 00:00:00,2575292.53,41316297.00,3115.50,3153.90,20.60,0.00,1394.20,1354.60,1473821524.30,1729988518.00,256166993.70,17.381140760694752,Average
1977-06-01 00:00:00,2575292.53,41316297.00,3073.00,3105.20,28.50,0.00,1424.50,1294.00,1437350220.03,1687178085.00,249827864.97,17.38114076086381,Average
1977-07-01 00:00:00,2575292.53,41316297.00,3068.00,3068.50,51.10,0.00,1495.60,1315.60,1474141500.74,1730364110.00,256222609.26,17.381140761004254,Average
1977-08-01 00:00:00,2575292.53,41316297.00,3054.00,2125.40,50.10,0.00,1510.70,1335.20,1497146058.23,1757367122.00,260221063.77,17.381140760417605,Average
1977-09-01 00:00:00,2575292.53,41316297.00,3189.00,3219.40,45.90,0.00,1513.80,1264.20,1411094429.03,1656358738.00,245264308.97,17.381140760267694,Average
1977-10-01 00:00:00,2575292.53,41316297.00,3220.00,3253.00,42.30,0.00,1635.00,1390.10,1546653286.24,1815479271.00,268825984.76,17.381140760611636,Average
1977-11-01 00:00:00,2575292.53,41316297.00,3239.00,3277.10,43.50,0.00,1706.70,1312.00,1457200962.54,1710479113.00,253278150.46,17.381140760332674,Average
1977-12-01 00:00:00,2575292.53,41316297.00,3249.10,3290.40,51.70,0.00,1726.10,1505.70,1647512887.90,1933869422.00,286356534.10,17.381140760908036,Average
1978-01-01 00:00:00,2613999.21,42206204.00,3220.70,3243.30,24.90,0.00,1774.10,1459.10,1620384412.30,1912500000.00,292115587.70,18.02754861640309,Average
1978-02-01 00:00:00,2613999.21,42206204.00,3278.80,3324.80,43.60,0.00,1607.80,1273.30,1456693814.41,1719300000.00,262606185.59,18.027548616753243,Average
1978-03-01 00:00:00,2613999.21,42206204.00,3336.40,3356.60,55.90,0.00,1741.30,1368.30,1600643258.41,1889200000.00,288556741.59,18.02754861671288,Average
1978-04-01 00:00:00,2613999.21,42206204.00,3318.30,3339.80,52.40,0.00,1699.80,1356.80,1503208378.72,1774200000.00,270991621.28,18.027548616430185,Average
1978-05-01 00:00:00,2613999.21,42206204.00,3247.10,3334.70,51.40,0.00,1711.30,1343.80,1508715567.57,1780700000.00,271984432.43,18.027548616607003,Average
1978-06-01 00:00:00,2613999.21,42206204.00,3263.70,3326.80,54.80,0.00,1662.60,1368.30,1532354116.64,1808600000.00,276245883.36,18.027548616877514,Average
1978-07-01 00:00:00,2613999.21,42206204.00,3209.20,3287.70,56.60,0.00,1671.40,1384.90,1580902104.52,1865900000.00,284997895.48,18.027548617030416,Average
1978-08-01 00:00:00,2613999.21,42206204.00,3267.30,3349.10,60.40,0.00,1712.00,1493.60,1633771117.51,1928300000.00,294528882.49,18.027548616411213,Average
1978-09-01 00:00:00,2613999.21,42206204.00,3350.00,3402.00,51.70,0.00,1643.30,1331.40,1480501815.45,1747400000.00,266898184.55,18.027548616607135,Average
1978-10-01 00:00:00,2613999.21,42206204.00,3471.60,3513.50,55.50,0.00,1779.20,1470.20,1637753238.68,1933000000.00,295246761.32,18.027548616418162,Average
1978-11-01 00:00:00,2613999.21,42206204.00,3540.00,3641.00,55.70,0.00,1674.50,1458.80,1623942903.55,1916700000.00,292757096.45,18.02754861701246,Average
1978-12-01 00:00:00,2613999.21,42206204.00,3561.40,3590.80,58.10,0.00,1887.30,1588.90,1754929272.25,2071300000.00,316370727.75,18.027548617066497,Average
1979-01-01 00:00:00,2597683.95,43132612.00,3508.80,3594.30,58.20,0.00,1887.40,1513.00,1668431095.93,2001001389.00,332570293.07,19.93311524109553,Average
1979-02-01 00:00:00,2597683.95,43132612.00,3596.00,3614.40,53.70,0.00,1675.70,1399.80,1525835216.84,1829981709.00,304146492.16,19.933115240968583,Average
1979-03-01 00:00:00,2597683.95,43132612.00,3619.10,3627.60,61.70,0.00,1833.90,1546.80,1693119923.48,2030611469.00,337491545.52,19.93311524125991,Average
1979-04-01 00:00:00,2597683.95,43132612.00,3559.10,3607.10,56.00,0.00,1721.30,1442.90,1563783980.95,1875494844.00,311710863.05,19.933115241443733,Average
1979-05-01 00:00:00,2597683.95,43132612.00,3380.80,3443.50,61.90,0.00,1729.40,1448.50,1577653748.25,1892129288.00,314475539.75,19.93311524146724,Average
1979-06-01 00:00:00,2597683.95,43132612.00,3406.90,3447.60,91.70,0.00,1753.90,1448.30,1592399056.89,1909813796.00,317414739.11,19.933115241220996,Average
1979-07-01 00:00:00,2597683.95,43132612.00,3428.70,3436.20,107.10,0.00,1809.50,1514.00,1649815032.34,1978674564.00,328859531.66,19.933115241019784,Average
1979-08-01 00:00:00,2597683.95,43132612.00,3441.00,3485.00,106.70,0.00,1867.60,1522.60,1681553378.27,2016739351.00,335185972.73,19.933115241030464,Average
1979-09-01 00:00:00,2597683.95,43132612.00,3501.80,3547.10,88.90,0.00,1695.60,1474.20,1627216544.88,1951571494.00,324354949.12,19.93311524151936,Average
1979-10-01 00:00:00,2597683.95,43132612.00,3586.20,3596.00,127.80,0.00,1877.50,1573.20,1722258270.24,2065557996.00,343299725.76,19.93311524131398,Average
1979-11-01 00:00:00,2597683.95,43132612.00,3592.00,3622.90,113.70,0.00,1861.00,1485.50,1622056342.06,1945382702.00,323326359.94,19.933115241199197,Average
1979-12-01 00:00:00,2597683.95,43132612.00,3642.00,3667.20,116.90,0.00,2013.30,1586.80,1738977409.87,2085609781.00,346632371.13,19.93311524132525,Average
1980-01-01 00:00:00,2534110.68,44105216.00,3542.90,3586.20,105.50,0.00,1964.40,1501.40,1646878103.90,1987453388.00,340575284.10,20.680054176048483,Low
1980-02-01 00:00:00,2534110.68,44105216.00,3560.00,3578.60,98.40,0.00,1805.70,1438.60,1586173685.51,1914195263.00,328021577.49,20.68005417606785,Low
1980-03-01 00:00:00,2534110.68,44105216.00,3643.20,3692.30,80.60,0.00,1993.10,1541.70,1710211075.96,2063883653.00,353672577.04,20.680054176439683,Low
1980-04-01 00:00:00,2534110.68,44105216.00,3603.50,3662.70,69.80,0.00,1845.80,1457.30,1634663735.83,1972713082.00,338049346.17,20.68005417630162,Low
1980-05-01 00:00:00,2534110.68,44105216.00,3562.50,3678.60,67.20,0.00,1843.50,1432.90,1616230915.96,1950468345.00,334237429.04,20.680054176631778,Low
1980-06-01 00:00:00,2534110.68,44105216.00,3453.80,3548.60,91.80,0.00,1809.00,1447.40,1642374665.41,1982018636.00,339643970.59,20.680054176627944,Low
1980-07-01 00:00:00,2534110.68,44105216.00,3646.00,3682.90,124.50,0.00,1836.90,1601.50,1768317896.91,2134006996.00,365689099.09,20.68005417628887,Low
1980-08-01 00:00:00,2534110.68,44105216.00,3608.60,3671.00,133.00,0.00,1878.20,1545.40,1681291766.77,2028983815.00,347692048.23,20.6800541763174,Low
1980-09-01 00:00:00,2534110.68,44105216.00,3749.40,3793.30,141.50,0.00,1857.40,1592.30,1706215501.85,2059061792.00,352846290.15,20.680054176475306,Low
1980-10-01 00:00:00,2534110.68,44105216.00,3783.50,3804.20,144.80,0.00,1905.20,1603.70,1727147837.50,2084322946.00,357175108.50,20.680054176311934,Low
1980-11-01 00:00:00,2534110.68,44105216.00,3892.50,3947.40,143.50,0.00,1830.00,1699.40,1817274702.08,2193088095.00,375813392.92,20.680054176171325,Low
1980-12-01 00:00:00,2534110.68,44105216.00,3813.70,3893.90,140.60,0.00,1952.70,1762.80,1861420112.32,2246362800.00,384942687.68,20.680054176497684,Low
1981-01-01 00:00:00,2657182.55,45130008.00,3626.90,3634.30,82.60,0.00,1882.00,1649.20,1787932523.90,2133583568.00,345651044.10,19.332443449601485,Average
1981-02-01 00:00:00,2657182.55,45130008.00,3692.80,3731.80,86.90,0.00,1815.80,1507.50,1668463415.68,1991018162.00,322554746.32,19.33244344998355,Average
1981-03-01 00:00:00,2657182.55,45130008.00,3802.70,3838.90,104.40,0.00,1983.30,1659.10,1842919302.10,2199200634.00,356281331.90,19.332443449586677,Average
1981-04-01 00:00:00,2657182.55,45130008.00,3818.90,3847.10,107.10,0.00,1902.90,1616.00,1787602597.69,2133189859.00,345587261.31,19.332443450047535,Average
1981-05-01 00:00:00,2657182.55,45130008.00,3798.50,3851.30,119.90,0.00,1883.30,1655.30,1838479558.93,2193902580.00,355423021.07,19.33244345000263,Average
1981-06-01 00:00:00,2657182.55,45130008.00,3840.80,3860.80,112.20,0.00,1890.20,1630.60,1829464890.59,2183145156.00,353680265.41,19.332443449949928,Average
1981-07-01 00:00:00,2657182.55,45130008.00,3856.30,3862.70,151.90,0.00,2009.50,1747.50,1933686581.19,2307515446.00,373828864.81,19.33244345006231,Average
1981-08-01 00:00:00,2657182.55,45130008.00,3695.00,3750.50,160.90,0.00,1896.00,1694.90,1842349007.90,2198520088.00,356171080.10,19.332443449788123,Average
1981-09-01 00:00:00,2657182.55,45130008.00,3731.70,3780.10,178.90,0.00,1917.50,1672.50,1810384295.79,2160375816.00,349991520.21,19.33244344992916,Average
1981-10-01 00:00:00,2657182.55,45130008.00,3701.50,3738.50,176.00,0.00,1939.50,1682.10,1833093350.61,2187475086.00,354381735.39,19.3324434498697,Average
1981-11-01 00:00:00,2657182.55,45130008.00,3785.20,3838.90,171.40,0.00,2049.60,1731.50,1869599393.51,2231038639.00,361439245.49,19.332443449900317,Average
1981-12-01 00:00:00,2657182.55,45130008.00,4025.10,4085.80,163.90,0.00,2105.80,1834.10,1986025082.10,2369972258.00,383947175.90,19.332443450010143,Average
1982-01-01 00:00:00,2751867.42,46198027.00,4040.00,4080.20,147.60,0.00,2051.10,1842.80,1973669126.34,2370134760.00,396465633.66,20.087745629137522,Low
1982-02-01 00:00:00,2751867.42,46198027.00,4058.80,4097.20,147.50,0.00,1904.10,1725.80,1828867348.20,2196245569.00,367378220.80,20.087745629095487,Low
1982-03-01 00:00:00,2751867.42,46198027.00,4118.00,4132.20,145.20,0.00,2094.80,1883.40,1989051690.07,2388607334.00,399555643.93,20.087745628970488,Low
1982-04-01 00:00:00,2751867.42,46198027.00,4162.10,4195.70,141.20,0.00,2026.10,1774.00,1874534968.75,2251086785.00,376551816.25,20.0877456290451,Low
1982-05-01 00:00:00,2751867.42,46198027.00,4125.00,4209.80,90.60,0.00,2074.00,1787.10,1897545031.81,2278719051.00,381174019.19,20.08774562922556,Low
1982-06-01 00:00:00,2751867.42,46198027.00,4222.60,4307.00,123.40,0.00,2070.90,1793.00,1887510585.80,2266668911.00,379158325.20,20.087745629214474,Low
1982-07-01 00:00:00,2751867.42,46198027.00,4183.40,4263.60,153.40,0.00,2155.60,1844.90,1931560192.80,2319567091.00,388006898.20,20.087745628964488,Low
1982-08-01 00:00:00,2751867.42,46198027.00,4234.00,4346.50,179.10,0.00,2037.60,1944.40,2013765237.52,2418285276.00,404520038.48,20.087745629087138,Low
1982-09-01 00:00:00,2751867.42,46198027.00,4475.00,4510.30,161.30,0.00,1981.50,1864.50,1931904560.99,2319980635.00,388076074.01,20.087745629169763,Low
1982-10-01 00:00:00,2751867.42,46198027.00,4349.70,4411.70,166.40,0.00,2011.40,1998.60,2002081622.41,2404254686.00,402173063.59,20.08774562876639,Low
1982-11-01 00:00:00,2751867.42,46198027.00,4434.00,4476.70,152.40,0.00,2059.60,2006.90,2079708918.61,2497475556.00,417766637.39,20.0877456288075,Low
1982-12-01 00:00:00,2751867.42,46198027.00,4436.00,4512.60,165.30,0.00,2206.10,2110.40,2176600716.68,2613830732.00,437230015.32,20.08774562873953,Low
1983-01-01 00:00:00,2888662.90,47285732.00,4372.70,4434.30,149.20,0.00,2222.60,2048.70,2119136273.72,2561108488.00,441972214.28,20.85624316666279,Low
1983-02-01 00:00:00,2888662.90,47285732.00,4328.50,4422.50,145.50,0.00,2048.70,1810.30,1884500530.81,2277536544.00,393036013.19,20.856243167045672,Low
1983-03-01 00:00:00,2888662.90,47285732.00,4459.90,4501.00,162.50,0.00,2243.40,1991.50,2060575412.36,2490334031.00,429758618.64,20.856243166941056,Low
1983-04-01 00:00:00,2888662.90,47285732.00,4483.10,4544.90,157.10,0.00,2109.90,1869.70,1960225344.53,2369054709.00,408829364.47,20.856243166676553,Low
1983-05-01 00:00:00,2888662.90,47285732.00,4472.00,4564.00,170.40,0.00,2188.10,1940.60,2039163715.03,2464456658.00,425292942.97,20.85624316651511,Low
1983-06-01 00:00:00,2888662.90,47285732.00,4441.80,4542.10,189.30,0.00,2143.30,1891.30,2009540148.99,2428654729.00,419114580.01,20.856243166908015,Low
1983-07-01 00:00:00,2888662.90,47285732.00,4342.90,4423.20,197.40,0.00,2166.20,1816.80,1913716205.63,2312845511.00,399129305.37,20.856243166870485,Low
1983-08-01 00:00:00,2888662.90,47285732.00,4412.00,4511.30,227.60,0.00,2239.20,1947.70,2055361522.84,2484032720.00,428671197.16,20.856243166782782,Low
1983-09-01 00:00:00,2888662.90,47285732.00,4586.40,4730.70,214.20,0.00,2158.70,1846.10,1949463389.95,2356048215.00,406584825.05,20.856243166506868,Low
1983-10-01 00:00:00,2888662.90,47285732.00,4518.00,4528.70,196.10,0.00,2237.80,1959.10,2078198430.79,2511632549.00,433434118.21,20.856243166598663,Low
1983-11-01 00:00:00,2888662.90,47285732.00,4607.60,4607.60,214.70,0.00,2345.10,1976.80,2118235368.67,2560019688.00,441784319.33,20.856243166565008,Low
1983-12-01 00:00:00,2888662.90,47285732.00,4559.40,4601.00,196.80,0.00,2448.50,2055.50,2276983656.69,2751876905.00,474893248.31,20.85624316690712,Low
1984-01-01 00:00:00,3082548.69,48360679.00,4586.00,4615.30,178.80,0.00,2411.90,2078.60,2292976905.05,2760220318.00,467243412.95,20.37715303285235,Low
1984-02-01 00:00:00,3082548.69,48360679.00,4774.60,4831.20,148.00,0.00,2132.00,1974.50,2123509920.77,2556220787.00,432710866.23,20.37715303317707,Low
1984-03-01 00:00:00,3082548.69,48360679.00,4778.00,4818.10,177.50,0.00,2327.40,2114.30,2256930042.41,2716828131.00,459898088.59,20.377153033016064,Low
1984-04-01 00:00:00,3082548.69,48360679.00,4830.10,4871.60,184.20,0.00,2211.90,2010.80,2100135171.25,2528082929.00,427947757.75,20.37715303321574,Low
1984-05-01 00:00:00,3082548.69,48360679.00,4922.70,4999.90,144.00,0.00,2294.10,2110.80,2197020945.72,2644711266.00,447690320.28,20.377153033162575,Low
1984-06-01 00:00:00,3082548.69,48360679.00,4885.80,4953.70,267.60,0.00,2239.30,2123.70,2188328897.66,2634248026.00,445919128.34,20.37715303292962,Low
1984-07-01 00:00:00,3082548.69,48360679.00,4936.70,5028.70,270.60,0.00,2115.50,2216.40,2250598538.62,2709206447.00,458607908.38,20.377153033308407,Low
1984-08-01 00:00:00,3082548.69,48360679.00,5140.70,5161.20,299.00,0.00,2256.50,2353.20,2371630138.33,2854900841.00,483270702.67,20.377153033242294,Low
1984-09-01 00:00:00,3082548.69,48360679.00,5287.20,5412.40,281.00,0.00,2141.90,2216.50,2285032180.69,2750656685.00,465624504.31,20.377153032890664,Low
1984-10-01 00:00:00,3082548.69,48360679.00,5288.00,5436.20,278.70,0.00,2315.50,2394.30,2507585671.32,3018560241.00,510974569.68,20.37715303306154,Low
1984-11-01 00:00:00,3082548.69,48360679.00,5312.10,5450.40,217.50,0.00,2345.30,2346.50,2466146191.53,2968676575.00,502530383.47,20.377153033179656,Low
1984-12-01 00:00:00,3082548.69,48360679.00,5380.30,5456.80,206.10,0.00,2555.50,2485.80,2595305396.65,3124154749.00,528849352.35,20.37715303303552,Low
1985-01-01 00:00:00,3213293.55,49399630.00,5203.70,5328.30,115.40,0.00,2898.70,2489.40,2462555530.19,3014000000.00,551444469.81,22.393179079598376,Low
1985-02-01 00:00:00,3213293.55,49399630.00,5121.80,5207.70,56.70,0.00,2608.90,2213.40,2177899144.42,2665600000.00,487700855.58,22.3931790794601,Low
1985-03-01 00:00:00,3213293.55,49399630.00,5258.30,5295.80,78.90,0.00,2887.10,2456.20,2423337658.44,2966000000.00,542662341.56,22.39317907968853,Low
1985-04-01 00:00:00,3213293.55,49399630.00,5286.20,5364.40,162.00,0.00,2655.30,2293.20,2301680552.13,2817100000.00,515419447.87,22.393179079217802,Low
1985-05-01 00:00:00,3213293.55,49399630.00,5318.20,5455.00,273.50,0.00,2730.60,2468.60,2454385140.25,3004000000.00,549614859.75,22.393179079222143,Low
1985-06-01 00:00:00,3213293.55,49399630.00,5272.70,5470.10,230.30,0.00,2600.30,2367.70,2312955690.25,2830900000.00,517944309.75,22.39317907962245,Low
1985-07-01 00:00:00,3213293.55,49399630.00,5446.90,5479.30,262.30,0.00,2848.40,2632.30,2541644904.89,3110800000.00,569155095.11,22.39317907922439,Low
1985-08-01 00:00:00,3213293.55,49399630.00,5533.90,5674.70,203.80,0.00,2861.40,2599.50,2504469630.62,3065300000.00,560830369.38,22.393179079642593,Low
1985-09-01 00:00:00,3213293.55,49399630.00,5658.70,5755.40,174.20,0.00,2943.60,2626.10,2547282473.95,3117700000.00,570417526.05,22.393179079408082,Low
1985-10-01 00:00:00,3213293.55,49399630.00,5552.70,5620.10,226.10,0.00,3002.70,2644.10,2637973802.37,3228700000.00,590726197.63,22.393179079310098,Low
1985-11-01 00:00:00,3213293.55,49399630.00,5664.80,5732.20,173.40,0.00,3031.00,2616.10,2618119754.79,3204400000.00,586280245.21,22.393179079656946,Low
1985-12-01 00:00:00,3213293.55,49399630.00,5689.10,5758.40,185.80,0.00,3150.90,2747.50,2726295717.70,3336800000.00,610504282.30,22.39317907945229,Low
1986-01-01 00:00:00,3438608.89,50393538.00,5655.10,5659.70,113.80,0.00,3150.80,2609.70,2604887788.80,3245960790.00,641073001.20,24.61038836130921,Low
1986-02-01 00:00:00,3438608.89,50393538.00,5674.10,5793.60,57.00,0.00,2880.10,2363.30,2352490542.36,2931447601.00,578957058.64,24.61038836139995,Low
1986-03-01 00:00:00,3438608.89,50393538.00,5713.60,5823.20,60.10,0.00,3190.20,2618.10,2603785434.48,3244587142.00,640801707.52,24.61038836128116,Low
1986-04-01 00:00:00,3438608.89,50393538.00,5769.60,5872.20,55.80,0.00,3090.70,2511.10,2521376533.95,3141897091.00,620520557.05,24.610388361070754,Low
1986-05-01 00:00:00,3438608.89,50393538.00,5756.70,5895.90,59.80,0.00,3279.10,2699.70,2675843859.29,3334379425.00,658535565.71,24.61038836117791,Low
1986-06-01 00:00:00,3438608.89,50393538.00,5784.60,5833.00,60.90,0.00,3083.60,2507.40,2519519623.76,3139583188.00,620063564.24,24.610388361041988,Low
1986-07-01 00:00:00,3438608.89,50393538.00,6019.50,6153.50,63.30,0.00,3461.30,2895.90,2824294317.90,3519364118.00,695069800.10,24.610388361253303,Low
1986-08-01 00:00:00,3438608.89,50393538.00,6159.70,6280.60,63.60,0.00,3365.30,2816.60,2745700164.32,3421427638.00,675727473.68,24.610388361445523,Low
1986-09-01 00:00:00,3438608.89,50393538.00,6241.30,6379.80,63.20,0.00,3475.40,2885.60,2797222631.15,3485629984.00,688407352.85,24.610388361078737,Low
1986-10-01 00:00:00,3438608.89,50393538.00,6208.10,6330.00,66.70,0.00,3545.80,2915.20,2834718797.09,3532354102.00,697635304.91,24.61038836113699,Low
1986-11-01 00:00:00,3438608.89,50393538.00,6224.00,6305.00,54.50,0.00,3507.90,2865.00,2795506303.13,3483491261.00,687984957.87,24.610388361481956,Low
1986-12-01 00:00:00,3438608.89,50393538.00,6391.00,6434.10,57.90,0.00,3664.60,3018.80,2934354003.78,3656509920.00,722155916.22,24.61038836110869,Low
1987-01-01 00:00:00,3764785.74,51349154.00,6265.20,7272.30,22.00,0.00,3581.40,2936.80,2946970747.09,3581280227.00,634309479.91,21.52411864068728,Low
1987-02-01 00:00:00,3764785.74,51349154.00,6283.30,6408.80,36.00,0.00,3260.00,2705.10,2708673789.87,3291691950.00,583018160.13,21.52411864102622,Low
1987-03-01 00:00:00,3764785.74,51349154.00,6354.00,6417.80,40.80,0.00,3545.50,2877.90,2946562511.25,3580784122.00,634221610.75,21.52411864090908,Low
1987-04-01 00:00:00,3764785.74,51349154.00,6431.80,6499.30,46.10,0.00,3430.30,2840.40,2856369157.68,3471177444.00,614808286.32,21.52411864086082,Low
1987-05-01 00:00:00,3764785.74,51349154.00,6396.80,6455.20,21.70,0.00,3545.40,2874.20,2932627265.98,3563849438.00,631222172.02,21.524118640732326,Low
1987-06-01 00:00:00,3764785.74,51349154.00,6599.00,6670.50,34.50,0.00,3622.40,2952.40,3004963031.08,3651754839.00,646791807.92,21.524118640738802,Low
1987-07-01 00:00:00,3764785.74,51349154.00,6720.00,6888.10,74.50,0.00,3873.20,3239.70,3244806965.15,3943223066.00,698416100.85,21.524118640990213,Low
1987-08-01 00:00:00,3764785.74,51349154.00,6641.00,6739.70,81.00,0.00,3606.90,3069.90,3030231234.08,3682461800.00,652230565.92,21.52411864099942,Low
